unit_id	risk_flag	reason
atlID3v2	high	被 8 個檔案依賴（本批 fan-in 最高之一，出錯會波及下游）；757 行；FrameHeaderNew(L166)/FrameHeaderOld(L173) 兩種版本 frame header 佈局＋Swap32 byte-swap 邏輯；ground truth tier: snapshot（id3.org 公開規格），但格式本身複雜度高。
atlFLACfile	high	831 行（本批第二大檔案）；依賴 atlID3v2；TFlacHeader/TMetaData(L59,L66) 描述 FLAC metadata block 巢狀結構；ground truth tier: snapshot（xiph.org 公開規格，'fLaC' magic）。
atlID3v1	high	被 7 個檔案依賴（基礎 unit）；788 行；initialization section(L626-788) 設定 5 個全域變數，含 148 個字串的 genre 對照表，並夾帶一個額外的 Lyrics3 v2 標記格式（Lyr2Mark/Lyr2Field, L72,L76）；ground truth tier: snapshot（ID3v1 公開規格，固定 128 bytes）。
atlAPEtag	high	被 8 個檔案依賴（基礎 unit，fan-in 最高）；446 行；PChar 指標算術（×5）；RTagHeader/RField(L66,L79) 為非 packed record，需驗證欄位總長度；ground truth tier: snapshot（APE tag 公開規格，'APETAGEX' magic）。
atlMPEGplus	normal	416 行；依賴 3 個基礎 unit（本批內已解決）；主 class TMPEGplus(L94) 跟 atlMusepack.pas 的同名 class 撞名，需要 rulebook 明確區分（見 domain skill 規則#5）；ground truth tier: inference（Musepack/MPEG+ SV7 是社群格式，無足夠公開規格可手動驗證）。
atlVorbisComment	normal	283 行；只被 1 個檔案（atlSpeex）依賴，fan-in 低；ground truth tier: snapshot（Vorbis comment 公開規格）。
atlWAVfile	normal	432 行；repo 內找到一個真實範例檔 `lightalloy-delphi7/source-repo/Source/!Res/!Unpack/CLICK.wav`（1792 bytes，標準 44-byte PCM header），可直接用真實資料核對 WAVRecord(L137, 非 packed) 欄位對應；ground truth tier: snapshot，本批裡證據最強的一個。
atlMonkey	high	379 行；4 種 header record（APE_HEADER/_OLD/_NEW/APE_DESCRIPTOR, L153-190）對應 Monkey's Audio 新舊版本演進，版本判斷分支複雜；ground truth tier: inference（Monkey's Audio 是 proprietary 壓縮格式，無足夠公開規格可信心手動驗證）。
atlMPEGaudio	high	912 行（本批最大檔案）；bit-level frame header 判斷（IsFrameHeader, L292-309）＋ Xing/FhG VBR header 偵測（L400-481）＋ implementation 區直接呼叫 Win32 handle-based API（FileOpen/GetFileSize/SetFilePointer/ReadFile/CloseHandle, L799-874）；ground truth tier: inference（MPEG audio frame header 位元級解析，沒把握手動驗證每個 bit 欄位）。
atlWMAfile	high	365 行；ReadObject(L207-239) 用 GUID 風格 ObjectID 逐 object 掃描 ASF 容器，屬 TLV 巢狀結構；ground truth tier: inference（ASF 容器格式複雜，沒把握手動驗證）。
atlCDAtrack	normal	168 行（本批最小之一）；不是二進位音訊格式解析，是透過 TIniFile 讀 cdplayer.ini（純文字格式）；ground truth tier: snapshot（INI 格式簡單，可手動構造已知輸入輸出）。
atlSpeex	high	635 行；依賴 atlVorbisComment；複用 Ogg 容器並有自己的 CalculateCRC(L408-423，非標準 CRC32 多項式)；ground truth tier: snapshot（Speex header 公開規格），但格式組合複雜度高。
atlDTS	high	204 行；SignatureChunk(L131) sync word 雖公開，但 DTS Coherent Acoustics 是較少公開細節文件的 proprietary 格式；ground truth tier: inference（沒把握逐欄位手動驗證正確性）。
atlWAVPackfile	high	426 行；依賴 atlAPEtag；同時支援 wavpack_header3(L97)/wavpack_header4(L112) 兩種版本 header，加上 fmt_chunk/riff_chunk(L125,L134)，全部非 packed record，版本判斷分支複雜；ground truth tier: inference（WavPack 版本演進格式細節沒把握逐一手動驗證，僅 tag 部分透過 atlAPEtag 繼承 snapshot 基礎）。
atlMusepack	normal	436 行；依賴 3 個基礎 unit；主 class TMPEGplus(L97) 跟 atlMPEGplus.pas 撞名（見上、見 domain skill 規則#5）；ground truth tier: inference（同 atlMPEGplus，社群格式無足夠公開規格）。
atlAACfile	normal	382 行；全域函式 ReadBits(L150) 做位元級解析，但 ADTS header 佈局是相對常見、有把握手動驗證的公開規格；ground truth tier: snapshot（僅涵蓋 ADTS 核心欄位，ADIF 或少見變體可能仍需個別確認）。
atlFPLfile	high	437 行；**不是公開音訊格式**，是 Light Alloy 自家 proprietary playlist 格式（簽章用位元組加總校驗而非標準演算法，L166）；`uses Dialogs`（唯一呼叫已確認是死碼，L213）；有一行被註解掉的 `//uses Main;`（L143，已確認為死碼殘留）；ground truth tier: inference（app 自訂格式無任何外部權威可查）。
atlAC3	normal	187 行（小）；SignatureChunk(L127-129) sync word（0x0B77）本身是公開知識，但完整 bitstream 欄位（bitrate/sample rate 對照表等）沒有把握逐條手動驗證到位元精確；ground truth tier: inference。
atlOggVorbis	high	807 行；自訂 CalculateCRC(L522-537，Ogg 專用 CRC 多項式，非標準 CRC32)＋自訂 UTF-8 編解碼函式（DecodeUTF8/EncodeUTF8）；ground truth tier: snapshot（Ogg container 與 Vorbis comment 均為 xiph.org 公開規格），但複雜度高、CRC 變體需要格外小心核對多項式。
atlTTA	normal	218 行（小）；StrLComp 對 4 bytes 字串 'TTA1' 精確比對(L178)，True Audio header 格式簡單；ground truth tier: snapshot。
atlOptimFROG	normal	255 行（小）；proprietary、相對冷門的壓縮格式，無足夠公開規格細節；ground truth tier: inference。
atlTwinVQ	normal	341 行；本批內部無依賴（不依賴 3 個基礎 unit，也不被任何檔案依賴）；Yamaha TwinVQ 是較冷門的舊格式，無足夠公開規格細節；ground truth tier: inference。
